index,name,full_name,place_type,count
07d9e643b5086001,Palmer's Island,Palmer's Island,poi,1
56cca608f55c9d75,Pelham Parkway,"Pelham Parkway, Bronx",neighborhood,1
0fc2c84c12541001,IKEA,IKEA,poi,1
07d9e38ff6083001,Van Cortlandt Park,Van Cortlandt Park,poi,1
07d9c931c2084000,MARTA - Brookhaven/Oglethorpe University Station,MARTA - Brookhaven/Oglethorpe University Station,poi,1
f209f4925ca2d3d2,Mountain View,"Mountain View, CO",city,1
092df33f52146000,Manayunk Bridge,Manayunk Bridge,poi,1
07d9ec7c80487000,Jones AT&T Stadium,Jones AT&T Stadium,poi,1
084ca5c50814b000,La Mexicana Supermercado,La Mexicana Supermercado,poi,1
11a5875be5d4d000,Oasis Cafe,Oasis Cafe,poi,1
0fc33391a195e000,Crunch - Appleton,Crunch - Appleton,poi,1
07d9e9d585081001,Harris County Public Library - Galena Park Branch,Harris County Public Library - Galena Park Branch,poi,1
daf32d97fbea4de2,Hopedale,"Hopedale, MA",city,1
004c90ba3f751571,Rosario Bajo,"Rosario Bajo, USA",city,1
013fb2c85c008ea7,Pleasant Grove,"Pleasant Grove, NJ",city,1
07d9d276adc86002,St. Joseph AME Church,St. Joseph AME Church,poi,1
4237f68161faa29b,Candelaria,"Candelaria, Puerto Rico",city,1
0d53c836dced69ad,Caseyville,"Caseyville, IL",city,1
07d9ce89d7883001,"On beach, up close to ocean","On beach, up close to ocean",poi,1
07d9e33d15c81001,Edward Hospital ICU,Edward Hospital ICU,poi,1
63e5ee1fce041f1d,Etowah,"Etowah, TN",city,1
07d9d21fd5888003,Target,Target,poi,1
07d9d4b582886001,Woodrow Shopping Plaza,Woodrow Shopping Plaza,poi,1
b1b9f87b23f4b3ba,Summerland,"Summerland, CA",city,1
07d9d23130887000,The Home Depot,The Home Depot,poi,1
109c085fe4946000,attn:,attn:,poi,1
0fc2c2f4aed46001,Adams Morgan Main Street,Adams Morgan Main Street,poi,1
01f344ec049ecf7d,Madisonville,"Madisonville, TN",city,1
07d9dd4520486001,Acres Homes,Acres Homes,poi,1
608f41abb00f3c66,East Garfield Park,"East Garfield Park, Chicago",neighborhood,1
07d9ec7b0f085000,Target,Target,poi,1
105d077cea14c000,Costco,Costco,poi,1
10f8b8f9e857b003,Shadyside Books,Shadyside Books,poi,1
07d9e4597a486002,Salt Lake City School District,Salt Lake City School District,poi,1
10800c8bc0d4d000,S&S Tools,S&S Tools,poi,1
0dcf66743c54d002,Haswell Greens,Haswell Greens,poi,1
07d9ed2406c86000,St. Joseph Medical Center,St. Joseph Medical Center,poi,1
07d9db260c880001,Chef Creole,Chef Creole,poi,1
0067c49b452bad9f,Hanalei,"Hanalei, HI",city,1
07d9e429b5481000,Fort Tryon Park,Fort Tryon Park,poi,1
07d9c94698082002,Lincolnwood Town Center,Lincolnwood Town Center,poi,1
0fc26d3b92d46000,Bailey's Powerhouse Gym,Bailey's Powerhouse Gym,poi,1
11dc49a853d4c000,Sunset Apartments,Sunset Apartments,poi,1
07d9d57911881000,Sc Military Museum,Sc Military Museum,poi,1
07d9d87b55882001,The Future,The Future,poi,1
10f74b7f8357d002,Days Inn,Days Inn,poi,1
6a81e61faa108354,Harbison Canyon,"Harbison Canyon, CA",city,1
62bab9e0ad086b5b,Denmark,"Denmark, SC",city,1
07d9e57a87480000,Upper Marlboro,Upper Marlboro,poi,1
a65904009e90ee41,Eagle Lake,"Eagle Lake, MN",city,1
4f6bfd54f67a64e4,Manatí,"Manatí, Puerto Rico",city,1
b57e5a0c7cc9819b,Greenwood,"Greenwood, MO",city,1
07d9db1561088003,City Hall,City Hall,poi,1
07d9dc89c9086001,Tate Rink - USMA,Tate Rink - USMA,poi,1
07d9ec9c82885000,Long Beach City College,Long Beach City College,poi,1
0fc27eb36595b004,Concourse T,Concourse T,poi,1
737ee8c6675f3384,West Helena,"West Helena, AR",city,1
01f04da151bfffde,Ramseur,"Ramseur, NC",city,1
0144027012f22dc3,Wilton,"Wilton, NH",city,1
07d9dbde3d088000,Piers 30-32,Piers 30-32,poi,1
a05809bdfb95c903,Río Jueyes,"Río Jueyes, USA",city,1
00fd022f7c61bddf,Holden Beach,"Holden Beach, NC",city,1
0fc32441bf94d003,Madelyne's Meth Lab,Madelyne's Meth Lab,poi,1
11dca8140d54e000,Deer Valley Resort,Deer Valley Resort,poi,1
